phi_LOS,f_D,f_D_dot,time
-4940268.34104985,3273.00068226457,-100.622028606012,185
-4937096.159252,3172.18179784808,-100.818884416483,186
-4934024.98893401,3071.17031799629,-101.01147985179,187
-4931055.01921859,2969.96971541829,-101.200602577999,188
-4928186.43556858,2868.58365001436,-101.386065403931,189
-4925419.4116264,2767.02394217998,-101.559707834385,190
-4922754.11655472,2665.2950716773,-101.728870502673,191
-4920190.71528807,2563.4012666475,-101.893805029802,192
-4917729.36884748,2461.34644058906,-102.054826058447,193
-4915370.22682181,2359.14202567562,-102.204414913431,194
-4913113.43411458,2256.79270722251,-102.349318453111,195
-4910959.13060489,2154.30350969732,-102.489197525196,196
-4908907.45243362,2051.67817126494,-102.625338432379,197
-4906958.5228909,1948.92954272218,-102.748628542759,198
-4905112.46344216,1846.05944873486,-102.870093987323,199
-4903369.39025218,1743.07318998594,-102.986258748919,200
-4901729.40918874,1639.98106343485,-103.092126551084,201
-4900192.62089535,1536.78829339053,-103.192770044319,202
-4898759.12019583,1433.50069952291,-103.28759386763,203
-4897428.99699873,1330.12319710292,-103.377502419986,204
-4896202.33134581,1226.66565292049,-103.457544182427,205
-4895079.19784987,1123.1334959371,-103.53215698339,206
-4894059.66487929,1019.53297058307,-103.600525354035,207
-4893143.79542264,915.869456646033,-103.663513937034,208
-4892331.64334513,812.152077512816,-103.717379133217,209
-4891623.25681064,708.386534491554,-103.765543021262,210
-4891018.67742252,604.57938811183,-103.807146379724,211
-4890517.94089375,500.736528775655,-103.842859336175,212
-4890121.07464174,396.866252004169,-103.870276771486,213
-4889828.10010826,292.97453348618,-103.891718517989,214
-4889639.03195872,189.068149534985,-103.906383951195,215
-4889553.87840543,85.1535532958806,-103.914596239105,216
-4889572.64028555,-18.7618801202625,-103.915433416143,217
-4889695.31217591,-122.671890363097,-103.910010242835,218
-4889921.88179016,-226.56961424835,-103.897723885253,219
-4890252.32966001,-330.447869850323,-103.878255601972,220
-4890686.63040944,-434.300749429502,-103.852879579179,221
-4891224.75151096,-538.121101524681,-103.820352095179,222
-4891866.65294363,-641.901432662271,-103.78033113759,223
-4892612.28910298,-745.636159354821,-103.73472669255,224
-4893461.60766314,-849.318560158834,-103.682400804013,225
-4894414.54941219,-952.941749049351,-103.623188890517,226
-4895471.04692609,-1056.49751389958,-103.555764850229,227
-4896631.02834652,-1159.98142043129,-103.483906531706,228
-4897894.41482627,-1263.38647975028,-103.40505931899,229
-4899261.12076791,-1366.70594163518,-103.319461884908,230
-4900731.05164628,-1469.93087837193,-103.224936736748,231
-4902304.10972137,-1573.05807508994,-103.127196718007,232
-4903980.18999822,-1676.08027684968,-103.022201759741,233
-4905759.1809577,-1778.9909594804,-102.910682630725,234
-4907640.96140518,-1881.78044748679,-102.789488006383,235
-4909625.40821314,-1984.44680795353,-102.666360466741,236
-4911712.39074532,-2086.98253218643,-102.535724232905,237
-4913901.77215071,-2189.38140538987,-102.398873203434,238
-4916193.40512183,-2291.63297111169,-102.251565721817,239
-4918587.14176946,-2393.73664763104,-102.103676519357,240
-4921082.82641654,-2495.68464708049,-101.947999449447,241
-4923680.29769228,-2597.47127573937,-101.786628658883,242
-4926379.38247672,-2699.08478444628,-101.613508706912,243
-4929179.91026851,-2800.52779178321,-101.443007336929,244
-4932081.70104454,-2901.79077603295,-101.262984249741,245
-4935084.56366439,-3002.86261985265,-101.071843819693,246
-4938188.30868158,-3103.74501719326,-100.882397340611,247
-4941392.73853615,-3204.42985456344,-100.68483737018,248
-4944697.65069435,-3304.91215820424,-100.482303640805,249
-4948102.82987837,-3405.17918402236,-100.267025818117,250
-4951608.06418568,-3505.23430730868,-100.055123286322,251
-4955213.13332902,-3605.06914333161,-99.8348360229284,252
-4958917.8126515,-3704.67932248022,-99.6101791486144,253
-4962721.86386248,-3804.05121098738,-99.3718885071576,254
-4966625.05356951,-3903.18970703054,-99.1384960431606,255
-4970627.13978455,-4002.08621503413,-98.896508003585,256
-4974727.87679802,-4100.73701346945,-98.6507984353229,257
-4978927.00436659,-4199.12756856997,-98.3905551005155,258
-4983224.26868976,-4297.26432317402,-98.1367546040565,259
-4987619.40717444,-4395.13848468289,-97.8741615088657,260
-4992112.15420847,-4492.74703402165,-97.6085493387654,261
-4996702.2287259,-4590.07451743074,-97.3274834090844,262
-5001389.35767266,-4687.12894676346,-97.0544293327257,263
-5006173.25900949,-4783.90133682638,-96.7723900629207,264
-5011053.64843792,-4880.38942843024,-96.4880916038528,265
-5016030.22526149,-4976.5768235717,-96.18739514146,266
-5021102.69838632,-5072.47312483564,-95.8963012639433,267
-5026270.76751937,-5168.06913304795,-95.5960082123056,268
-5031534.13105236,-5263.36353298742,-95.2943999394774,269
-5036892.46948061,-5358.33842825145,-94.9748952640221,270
-5042345.47650338,-5453.00702277292,-94.6685945214704,271
-5047892.83721792,-5547.36071454082,-94.3536917679012,272
-5053534.21986656,-5641.38264863472,-94.0219340939075,273
-5059269.30472666,-5735.0848601032,-93.7022114684805,274
-5065097.76273244,-5828.45800578129,-93.3731456780806,275
-5071019.26480127,-5921.50206883159,-93.0440630502999,276
-5077033.46282148,-6014.19802020397,-92.695951372385,277
-5083140.02260595,-6106.55978446733,-92.3617642633617,278
-5089338.60040013,-6198.57779418677,-92.0180097194389,279
-5095628.85333496,-6290.25293482747,-91.6751406406984,280
-5102010.41853043,-6381.56519547291,-91.3122606454417,281
-5108482.94858089,-6472.53005045746,-90.9648549845442,282
-5115046.08639633,-6563.13781544287,-90.6077649854124,283
-5121699.47666265,-6653.39026631322,-90.25245087035,284
-5128442.74307615,-6743.26641350705,-89.8761471938342,285
-5135275.52633277,-6832.78325661458,-89.516843107529,286
-5142197.45733887,-6921.9310060991,-89.1477494845167,287
-5149208.1696836,-7010.71234472841,-88.7813386293128,288
-5156307.27498068,-7099.10529708117,-88.3929523527622,289
-5163494.40334473,-7187.1283640489,-88.0230669677258,290
-5170769.17498816,-7274.77164343745,-87.6432793885469,291
-5178131.21380879,-7362.03882062808,-87.2671771906316,292
-5185580.12040041,-7448.90659162309,-86.8677709950134,293
-5193115.51658053,-7535.39618011285,-86.489588489756,294
-5200737.01892505,-7621.50234451797,-86.1061644051224,295
-5208444.22131879,-7707.20239374135,-85.7000492233783,296
-5216236.73838775,-7792.51706896536,-85.3146752240136,297
-5224114.17484985,-7877.4364621006,-84.9193931352347,298
-5232076.1405636,-7961.96571374685,-84.5292516462505,299
-5240122.22076021,-8046.08019661438,-84.1144828675315,300
-5248252.02302207,-8129.80226185266,-83.7220652382821,301
-5256465.14493435,-8213.12191227917,-83.319650426507,302
-5264761.19011892,-8296.04518457688,-82.9232722977176,303
-5273139.73662079,-8378.54650186747,-82.5013172905892,304
-5281600.38613578,-8460.64951498527,-82.1030131177977,305
-5290142.73036206,-8542.34422628023,-81.6947112949565,306
-5298766.36789252,-8623.63753046561,-81.293304185383,307
-5307470.87081675,-8704.50292422716,-80.8653937615454,308
-5316255.8361076,-8784.96529085469,-80.4623666275293,309
-5325120.8507655,-8865.01465789508,-80.0493670403957,310
-5334065.50951884,-8944.65875334479,-79.6440954497084,311
-5343089.3796914,-9023.87017255928,-79.2114192144945,312
-5352192.0546456,-9102.67495419551,-78.8047816362232,313
-5361373.11782699,-9181.06318139564,-78.3882272001356,314
-5370632.16121564,-9259.0433886461,-77.9802072504535,315
-5379968.74850307,-9336.58728743158,-77.5438987854868,316
-5389382.47047888,-9413.72197581083,-77.134688379243,317
-5398872.91773393,-9490.44725505263,-76.7252792418003,318
-5408439.65195436,-9566.7342204228,-76.2869653701782,319
-5418082.26270382,-9642.61074946728,-75.8765290444717,320
-5427800.32981011,-9718.06710628513,-75.4563568178564,321
-5437593.44293791,-9793.11312780064,-75.0460215155035,322
-5447461.16202086,-9867.71908295248,-74.605955151841,323
-5457403.07578562,-9941.9137647571,-74.1946818046272,324
-5467418.76338274,-10015.6875971155,-73.7738323584199,325
-5477507.81448363,-10089.0511008948,-73.3635037792847,326
-5487669.78825439,-10161.9737707572,-72.922669862397,327
-5497904.27348835,-10234.4852339579,-72.5114632006735,328
-5508210.84959304,-10306.5761046913,-72.0908707333729,329
-5518589.10713782,-10378.2575447857,-71.6814400944859,330
-5529038.60545368,-10449.4983158614,-71.2407710757107,331
-5539558.93423502,-10520.3287813384,-70.8304654769599,332
-5550149.6740272,-10590.7397921756,-70.4110108371824,333
-5560810.41712587,-10660.7430986706,-70.0033064950258,334
-5571540.72389362,-10730.3067677561,-69.5636690855026,335
-5582340.18570651,-10799.4618128892,-69.1550451330841,336
-5593208.3850633,-10868.1993567906,-68.7375439014286,337
-5604144.9167462,-10936.5316828974,-68.3323261067271,338
-5615149.34296892,-11004.4262227183,-67.8945398209617,339
-5626221.25749376,-11071.9145248402,-67.4883021218702,340
-5637360.24555126,-11138.9880574998,-67.0735326595604,341
-5648565.90502573,-11205.6594744744,-66.6714169746265,342
-5659837.8010856,-11271.8960598661,-66.2365853916854,343
-5671175.52915261,-11337.7280670116,-65.8320071455091,344
-5682578.69177807,-11403.1626254562,-65.4345584446564,345
-5694046.85568517,-11468.1639071014,-65.001281645149,346
-5705579.62050756,-11532.7648223937,-64.6009152922779,347
-5717176.57778907,-11596.9572815094,-64.1924591157585,348
-5728837.33261488,-11660.75482581,-63.7975443005562,349
-5740561.4559588,-11724.1233439147,-63.3685181047767,350
-5752348.55136842,-11787.0954096196,-62.9720657048747,351
-5764198.21490713,-11849.6635387177,-62.5681290980428,352
-5776110.05645917,-11911.8415520312,-62.1780133135617,353
-5788083.65136097,-11973.5949018085,-61.7533497773111,354
-5800118.6077014,-12034.9563404284,-61.3614386199042,355
-5812214.52655825,-12095.9188568518,-60.9625164233148,356
-5824371.02310977,-12156.4965515155,-60.5776946637779,357
-5836587.67758518,-12216.6544754105,-60.1579238949344,358
-5848864.10305396,-12276.4254687801,-59.7709933696315,359
-5861199.90609006,-12335.8030360946,-59.3775673145428,360
-5873594.70758822,-12394.8014981644,-58.9984620697796,361
-5886048.09315839,-12453.3855701657,-58.5840720012784,362
-5898559.68122009,-12511.5880617015,-58.2024915358052,363
-5911129.08431927,-12569.4030991821,-57.8150374805555,364
-5923755.92926954,-12626.8449502708,-57.4418510887772,365
-5936439.8081415,-12683.8788719606,-57.0339216897264,366
-5949180.34256797,-12740.5344264731,-56.6555545125157,367
-5961977.16829669,-12796.8257287201,-56.2913022469729,368
-5974829.88026717,-12852.7119704783,-55.8862417582422,369
-5987738.10737525,-12908.2271080753,-55.5151375969872,370
-6000701.47329056,-12963.3659153152,-55.1388072399423,371
-6013719.616433,-13018.1431424422,-54.7772271269932,372
-6026792.13925523,-13072.5228222245,-54.3796797823161,373
-6039918.67653251,-13126.5372772766,-54.0144550520927,374
-6053098.85886914,-13180.1823366378,-53.6450593611225,375
-6066332.33153118,-13233.4726620363,-53.2903253985569,376
-6079618.70372308,-13286.3721919013,-52.8995298650116,377
-6092957.61660173,-13338.9128786502,-52.5406867489219,378
-6106348.70787932,-13391.091277591,-52.1783989407122,379
-6119791.62989295,-13442.9220136292,-51.8307360382751,380
-6133285.99885073,-13494.3689577747,-51.4469441454858,381
-6146831.46246441,-13545.4636136871,-51.0946559123695,382
-6160427.66576841,-13596.2033039983,-50.7396903112531,383
-6174074.26833,-13646.6025615912,-50.3992575928569,384
-6187770.89358697,-13696.6252569696,-50.0226953784004,385
-6201517.19592398,-13746.3023370085,-49.6770800389349,386
-6215312.82793652,-13795.6320125367,-49.3296755282208,387
-6229157.45630743,-13844.6283709165,-48.9963583797216,388
-6243050.71278998,-13893.2564825499,-48.6281116334721,389
-6256992.25515574,-13941.5423657512,-48.2858832012862,390
-6270981.76263762,-13989.5074818814,-47.9651161301881,391
-6285018.86995184,-14037.1073142244,-47.5998323429376,392
-6299103.24391156,-14084.3739597211,-47.2666454967111,393
-6313234.55035688,-14131.3064453127,-46.9324855916202,394
-6327412.46932212,-14177.9189652465,-46.6125199338421,395
-6341636.64495325,-14224.1756311283,-46.2566658817232,396
-6355906.75046737,-14270.105514125,-45.9298829967156,397
-6370222.45964597,-14315.7091785958,-45.6036644708365,398
