phi_LOS,f_D,f_D_dot,time
-5712164.47232383,16841.410832122,-38.417994203046,60
-5695361.83856004,16802.6337637892,-38.777068332769,61
-5678598.32546256,16763.5130974762,-39.1206663129851,62
-5661874.33440139,16723.991061178,-39.5220362981781,63
-5645190.2354378,16684.098963582,-39.8920975960791,64
-5628546.38246612,16643.8529716842,-40.2459918977693,65
-5611943.1867728,16603.1956933206,-40.6572783635929,66
-5595381.02970139,16562.1570714051,-41.0386219155043,67
-5578860.27540437,16520.7542970264,-41.4027743786573,68
-5562381.34634766,16478.9290567078,-41.8252403186634,69
-5545944.63139985,16436.7149478113,-42.2141088964418,70
-5529550.52761918,16394.1037806682,-42.611167143099,71
-5513199.42150987,16351.1061093118,-42.9976713564247,72
-5496891.74632094,16307.675188927,-43.4309203848243,73
-5480627.91085848,16263.835462465,-43.8397264620289,74
-5464408.30487996,16219.6059785169,-44.2294839480892,75
-5448233.37431865,16174.930561306,-44.6754172109067,76
-5432103.53930967,16129.8350089798,-45.09555232618,77
-5416019.20105839,16084.3382512871,-45.4967576926574,78
-5399980.81624287,16038.384815516,-45.9534357711673,79
-5383988.81709035,15991.9991525169,-46.3856629990041,80
-5368043.61630344,15945.20078691,-46.7983656069264,81
-5352145.6815209,15897.934782546,-47.2660043640062,82
-5336295.45722222,15850.2242986746,-47.7104838714004,83
-5320493.36780671,15802.0894155148,-48.1348831597716,84
-5304739.89201722,15753.4757894902,-48.6136260246858,85
-5289035.48681749,15704.4051997308,-49.0705897593871,86
-5273380.58819096,15654.8986265259,-49.5065732048824,87
-5257775.68723652,15604.900954443,-49.9976720828563,88
-5242221.24937804,15554.4378584754,-50.4630959676579,89
-5226717.74345823,15503.505919816,-50.9319386593997,90
-5211265.63135636,15452.1121018678,-51.3938179481775,91
-5195865.41583275,15400.2155236071,-51.8965782606974,92
-5180517.58391598,15347.8319167737,-52.3836068334058,93
-5165222.59999417,15294.9839218091,-52.8479949645698,94
-5149980.98089951,15241.6190946642,-53.364827144891,95
-5134793.22576743,15187.7551320735,-53.8639625906944,96
-5119659.81150957,15133.4142578607,-54.340874212794,97
-5104581.26652005,15078.5449895244,-54.8692683363333,98
-5089558.10281112,15023.1637089252,-55.381280599162,99
-5074590.80971386,14967.2930972576,-55.8706116676331,100
-5059679.92729061,14910.8824232547,-56.4106740029529,101
-5044825.98045035,14853.9468402565,-56.9355829982087,102
-5030029.47101398,14796.5094363708,-57.4374038856477,103
-5015290.95071363,14738.5203003492,-57.9891360215843,104
-5000610.9574395,14679.9932741374,-58.5270262118429,105
-4985990.00523831,14620.9522011867,-59.0410729506984,106
-4971428.65859288,14561.3466454297,-59.6055557569489,107
-4956927.46428152,14501.1943113636,-60.1523340661079,108
-4942486.96764798,14440.4966335353,-60.6976778283715,109
-4928107.71067571,14379.2569722701,-61.2396612651646,110
-4913790.2694971,14317.4411786124,-61.8157936576754,111
-4899535.21261695,14255.0568801472,-62.3842984652147,112
-4885343.0832594,14192.1293575484,-62.9275225987658,113
-4871214.47193999,14128.6113194162,-63.518038132228,114
-4857149.95904642,14064.5128935622,-64.0984258539975,115
-4843150.10034336,13999.8587030666,-64.6541904956102,116
-4829215.49767408,13934.6026692791,-65.2560337875038,117
-4815346.74392483,13868.7537492486,-65.8489200305194,118
